x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
-0.04,0.709,-0.127,,,,,,,
,,,24.695,12.805,-37.195,B,bench,heavy,30.0
,,,25.366,-0.793,-31.037,B,bench,heavy,30.0
-0.112,0.744,-0.1,,,,,,,
,,,35.366,7.866,-19.817,B,bench,heavy,30.0
,,,32.012,0.122,-25.061,B,bench,heavy,30.0
-0.115,0.847,-0.184,,,,,,,
,,,17.927,5.671,-16.768,B,bench,heavy,30.0
,,,14.451,-1.22,-17.195,B,bench,heavy,30.0
-0.202,0.913,-0.2,,,,,,,
,,,8.232,-2.561,2.256,B,bench,heavy,30.0
,,,-2.012,-10.0,-2.927,B,bench,heavy,30.0
-0.217,0.898,-0.201,,,,,,,
,,,-5.366,-3.72,13.902,B,bench,heavy,30.0
,,,-8.415,-6.829,13.841,B,bench,heavy,30.0
-0.207,0.94,-0.239,,,,,,,
,,,1.402,-5.183,24.634,B,bench,heavy,30.0
,,,-19.085,0.122,6.037,B,bench,heavy,30.0
-0.209,0.956,-0.21,,,,,,,
,,,-45.793,-3.902,-2.927,B,bench,heavy,30.0
,,,-51.524,-9.451,6.22,B,bench,heavy,30.0
-0.221,0.963,-0.08,,,,,,,
,,,-50.122,-22.378,28.841,B,bench,heavy,30.0
,,,-42.439,-14.939,16.951,B,bench,heavy,30.0
-0.193,1.09,-0.094,,,,,,,
,,,-32.134,-10.854,-10.976,B,bench,heavy,30.0
,,,-19.451,1.646,-31.037,B,bench,heavy,30.0
-0.303,1.552,-0.078,,,,,,,
,,,10.671,-0.366,-21.22,B,bench,heavy,30.0
,,,48.902,1.89,1.22,B,bench,heavy,30.0
-0.298,1.607,-0.103,,,,,,,
,,,61.341,14.146,-13.415,B,bench,heavy,30.0
,,,29.634,12.317,-39.634,B,bench,heavy,30.0
-0.233,1.021,-0.075,,,,,,,
,,,18.171,-15.915,-10.0,B,bench,heavy,30.0
,,,23.537,-32.622,-15.244,B,bench,heavy,30.0
-0.201,0.767,-0.059,,,,,,,
,,,7.317,-8.963,-25.061,B,bench,heavy,30.0
,,,11.524,-11.159,-8.963,B,bench,heavy,30.0
-0.249,0.882,-0.178,,,,,,,
